入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,失踪の有無
23.0,男,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
25.0,男,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
28.0,男,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,男,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,男,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,男,機械・金属関係,仕上げ,愛知県,豊田市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,機械・金属関係,鉄工,大阪府,大阪市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,機械・金属関係,鉄工,大阪府,大阪市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
28.0,男,建設関係,建設機械施工,兵庫県,姫路市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
28.0,男,建設関係,建設機械施工,兵庫県,姫路市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,男,建設関係,建設機械施工,兵庫県,姫路市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,建設関係,とび,北海道,旭川市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ウエストワード協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,建設関係,とび,北海道,旭川市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ウエストワード協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,建設関係,とび,北海道,旭川市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,ウエストワード協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,女,その他,介護,兵庫県,宝塚市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,女,その他,介護,兵庫県,宝塚市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,男,移行対象外,物流倉庫管理,神奈川県,川崎市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
23.0,男,移行対象外,物流倉庫管理,神奈川県,川崎市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,女,その他,介護,鹿児島県,薩摩川内市,"MYANMAR UNITED SK CO.,LTD",CB日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,女,その他,介護,鹿児島県,薩摩川内市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,女,その他,介護,鹿児島県,薩摩川内市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,女,その他,介護,兵庫県,宝塚市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
25.0,女,その他,介護,兵庫県,宝塚市,"MYANMAR UNITED SK CO.,LTD",CB日本語学校,れいめい事業協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,機械・金属関係,機械加工,福岡県,古賀市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,機械・金属関係,機械加工,福岡県,古賀市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,JOP協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,男,食品製造関係,そう菜製造業,鹿児島県,志布志市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,事業協同組合ヒューマンサポート,MAY KINN SAN COMPANY LIMITED,0
20.0,男,食品製造関係,そう菜製造業,鹿児島県,志布志市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,事業協同組合ヒューマンサポート,MAY KINN SAN COMPANY LIMITED,0
20.0,男,建設関係,建設機械施工,茨城県,稲敷郡河内町,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,アシスト国際事業協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,男,機械・金属関係,金属プレス加工,栃木県,小山市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,アシスト国際事業協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,男,機械・金属関係,金属プレス加工,栃木県,小山市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,アシスト国際事業協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,その他,溶接,福岡県,久留米市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
26.0,男,その他,溶接,福岡県,久留米市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
24.0,男,その他,溶接,福岡県,久留米市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
19.0,男,その他,溶接,福岡県,久留米市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
20.0,男,その他,溶接,福岡県,久留米市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
29.0,男,その他,溶接,福岡県,久留米市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
21.0,男,移行対象外,物流倉庫管理,埼玉県,桶川市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,移行対象外,物流倉庫管理,埼玉県,桶川市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
22.0,男,移行対象外,物流倉庫管理,埼玉県,桶川市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,西日本海外業務支援協同組合,MAY KINN SAN COMPANY LIMITED,0
