入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),所在地(実習先)(市区町村),派遣会社,学校所属,組合,所属機関,失踪の有無
20,男,建設関係,とび,北海道,旭川市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,ウエストワード協同組合,"MAY KINN SAN COMPANY LIMITED",1
27,男,建設関係,防水施工,東京都,江東区,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
20,男,建設関係,冷凍空気調和機器施工,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,れいめい事業協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,建設関係,建築大工,福岡県,朝倉市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,九州産業振興協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,建設関係,とび,栃木県,小山市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,左官,京都府,京都市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,機械・金属関係,鉄工,大阪府,大阪市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
26,男,建設関係,防水施工,兵庫県,尼崎市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
27,女,繊維・衣服関係,婦人子供服製造,岩手県,奥州市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,三陸アシスト協同組合,"MAY KINN SAN COMPANY LIMITED",1
24,男,建設関係,建設機械施工,鹿児島県,鹿児島市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,その他,塗装,埼玉県,川越市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
25,男,農業・林業関係,耕種農業,三重県,津市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,三陸アシスト協同組合,"MAY KINN SAN COMPANY LIMITED",1
28,男,食品製造関係,非加熱性水産加工食品製造業,宮城県,石巻市,"MYANMAR UNITED SK CO.,LTD",KP日本語学校,JOP協同組合,"MAY KINN SAN COMPANY LIMITED",1
21,男,建設関係,とび,埼玉県,越谷市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,フォーグッド協同組合,"MAY KINN SAN COMPANY LIMITED",1
19,男,建設関係,型枠施工,鹿児島県,曾於市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,アジアアグリ協同組合,"MAY KINN SAN COMPANY LIMITED",1
28,男,建設関係,とび,高知県,南国市,"MYANMAR UNITED SK CO.,LTD",ネピドー学校,ハンズ協同組合,"MAY KINN SAN COMPANY LIMITED",1
20,男,建設関係,とび,高知県,南国市,"MYANMAR UNITED SK CO.,LTD",ヤンゴン学校,ハンズ協同組合,"MAY KINN SAN COMPANY LIMITED",1
